Version,1
Sampling cycle,1000us
Out count,1
Data count,3402
First index,256367

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
257430,-1.8158,GO
257431,-1.8158,GO
257432,-1.8158,GO
257433,-1.8156,GO
257434,-1.8156,GO
257435,-1.8158,GO
257436,-1.8158,GO
257437,-1.8156,GO
257438,-1.8156,GO
257439,-1.8156,GO
257440,-1.8158,GO
257441,-1.8161,GO
257442,-1.8163,GO
257443,-1.8166,GO
257444,-1.8166,GO
257445,-1.8171,GO
257446,-1.8173,GO
257447,-1.8176,GO
257448,-1.8176,GO
257449,-1.8176,GO
257450,-1.8179,GO
257451,-1.8181,GO
257452,-1.8186,GO
257453,-1.8186,GO
257454,-1.8189,GO
257455,-1.8191,GO
257456,-1.8191,GO
257457,-1.8194,GO
257458,-1.8196,GO
257459,-1.8199,GO
257460,-1.8202,GO
257461,-1.8202,GO
257462,-1.8204,GO
257463,-1.8204,GO
257464,-1.8207,GO
257465,-1.8207,GO
257466,-1.8207,GO
257467,-1.8207,GO
257468,-1.8204,GO
257469,-1.8202,GO
257470,-1.8204,GO
257471,-1.8202,GO
257472,-1.8202,GO
257473,-1.8202,GO
257474,-1.8199,GO
257475,-1.8196,GO
257476,-1.8196,GO
