Version,1
Sampling cycle,1000us
Out count,1
Data count,23821
First index,885114

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
886096,-2.9174,GO
886097,-2.9171,GO
886098,-2.9169,GO
886099,-2.9169,GO
886100,-2.9171,GO
886101,-2.9166,GO
886102,-2.9169,GO
886103,-2.9166,GO
886104,-2.9166,GO
886105,-2.9166,GO
886106,-2.9169,GO
886107,-2.9169,GO
886108,-2.9169,GO
886109,-2.9169,GO
886110,-2.9169,GO
886111,-2.9169,GO
886112,-2.9166,GO
886113,-2.9169,GO
886114,-2.9169,GO
886115,-2.9169,GO
886116,-2.9169,GO
886117,-2.9166,GO
886118,-2.9169,GO
886119,-2.9166,GO
886120,-2.9166,GO
886121,-2.9166,GO
886122,-2.9166,GO
886123,-2.9166,GO
886124,-2.9164,GO
886125,-2.9161,GO
886126,-2.9161,GO
886127,-2.9158,GO
886128,-2.9158,GO
886129,-2.9156,GO
886130,-2.9156,GO
886131,-2.9156,GO
886132,-2.9156,GO
886133,-2.9153,GO
886134,-2.9151,GO
886135,-2.9151,GO
886136,-2.9151,GO
886137,-2.9151,GO
886138,-2.9148,GO
886139,-2.9151,GO
886140,-2.9148,GO
886141,-2.9146,GO
886142,-2.9143,GO
886143,-2.9148,GO
886144,-2.9146,GO
886145,-2.9146,GO
886146,-2.9146,GO
886147,-2.9143,GO
886148,-2.9143,GO
886149,-2.9143,GO
886150,-2.9143,GO
886151,-2.9140,GO
886152,-2.9143,GO
886153,-2.9146,GO
886154,-2.9146,GO
886155,-2.9146,GO
886156,-2.9148,GO
886157,-2.9148,GO
886158,-2.9148,GO
886159,-2.9148,GO
886160,-2.9148,GO
886161,-2.9151,GO
886162,-2.9156,GO
886163,-2.9156,GO
886164,-2.9153,GO
886165,-2.9153,GO
886166,-2.9156,GO
886167,-2.9158,GO
886168,-2.9158,GO
886169,-2.9158,GO
886170,-2.9158,GO
886171,-2.9158,GO
886172,-2.9156,GO
886173,-2.9153,GO
886174,-2.9153,GO
886175,-2.9156,GO
886176,-2.9158,GO
886177,-2.9156,GO
886178,-2.9156,GO
886179,-2.9156,GO
886180,-2.9156,GO
886181,-2.9156,GO
886182,-2.9156,GO
886183,-2.9158,GO
886184,-2.9156,GO
886185,-2.9156,GO
886186,-2.9158,GO
886187,-2.9158,GO
886188,-2.9161,GO
886189,-2.9161,GO
886190,-2.9161,GO
886191,-2.9161,GO
886192,-2.9161,GO
886193,-2.9164,GO
886194,-2.9164,GO
886195,-2.9161,GO
886196,-2.9161,GO
886197,-2.9164,GO
886198,-2.9166,GO
886199,-2.9169,GO
886200,-2.9169,GO
886201,-2.9169,GO
886202,-2.9169,GO
886203,-2.9171,GO
886204,-2.9171,GO
886205,-2.9169,GO
886206,-2.9171,GO
886207,-2.9171,GO
886208,-2.9171,GO
886209,-2.9171,GO
886210,-2.9171,GO
886211,-2.9174,GO
886212,-2.9176,GO
886213,-2.9174,GO
886214,-2.9179,GO
886215,-2.9179,GO
886216,-2.9184,GO
886217,-2.9181,GO
886218,-2.9184,GO
886219,-2.9181,GO
886220,-2.9184,GO
886221,-2.9184,GO
886222,-2.9184,GO
886223,-2.9184,GO
